collection,date,id,title,topic_score
frus,1977-10-23 00:00:00,frus1977-80v16d15,"15. Memorandum From Secretary of State Vance to President Carter

",0.0943439
frus,1952-11-03 00:00:00,frus1952-54v06p2d952,"No. 952Memorandum of Telephone Conversation, by
                                the Personal Secretary to the Secretary
                                of State (Evans)",0.0941198
frus,1964-01-21 15:00:00,frus1964-68v29p1d333,"333. Memorandum of Conversation
",0.0939068
frus,1946-07-01 00:00:00,frus1946v08d219,"The Political Adviser in Japan (Atcheson) to the Secretary of
                                State",0.0937517
frus,1968-01-24 10:20:00,frus1964-68v20d59,"59. Telegram From the Embassy in Israel to the
                            Department of State

",0.0931768
frus,1972-12-11 00:00:00,frus1969-76v28d97,"97. Intelligence Note Prepared in the Bureau of Intelligence and
                                Research",0.0930385
frus,1950-10-20 00:00:00,frus1950v03d678,"
Policy Statement Prepared in the Department of
                                State

",0.0930199
frus,1976-06-17 00:00:00,frus1969-76ve06d298,"298. Memorandum From the Chief of the U.S. Military Technical Advisory
                            Team (Rockwell) to
                            the Secretaries of Defense and State,
                            Washington, June 17, 1976

",0.0930057
frus,1978-11-23 14:00:00,frus1977-80v16d31,"31. Telegram From the Embassy in Zaire to the Department of State
",0.0929162
frus,1962-03-18 16:17:00,frus1961-63v07d159,"159. Telegram From the Department of State to
                        the Delegation to the Eighteen-Nation Disarmament
                            Committee",0.0927604
frus,1969-07-08 00:00:00,frus1969-76ve05p1d275,"275. Memorandum of Conversation, Washington, July 8, 1969

",0.092201
frus,1935-11-12 17:00:00,frus1935v03d1034,"The Charge in Japan (Neville) to the
                                    Secretary of State",0.091865
frus,1968-11-05 16:50:00,frus1964-68v20d307,"307. Telegram From the Mission to the United
                            Nations to the Department of State

",0.0914841
frus,1963-11-05 00:00:00,frus1961-63v21d372,"372. Research Memorandum From the Director of the Bureau of
                            Intelligence and Research (Hughes) to
                            Secretary of State Rusk",0.0914192
frus,1936-10-09 00:00:00,frus1936v04d897,"The Secretary of State to
                                the Minister in Canada (Armour)",0.091414
frus,,frus1946v05d536,"The British Embassy
                                    in Portugal to the Portuguese Foreign
                                        Office",0.0913678
frus,1975-03-07 00:00:00,frus1969-76ve06d271,"271. Memorandum From the Chief of the U.S. Military Technical Advisory
                            Team (Rockwell) and
                            the Acting Assistant Secretary of State for African Affairs (Mulcahy), Washington, March
                            7, 1975

",0.0913283
frus,1961-05-08 04:00:00,frus1961-63v13d325,"325. Telegram From Secretary of State Rusk to the Department of
                            State",0.0909116
frus,1976-06-02 00:00:00,frus1969-76ve15p2d213,213. Memorandum of Conversation,0.0908786
frus,1934-08-15 00:00:00,frus1934v02d566,"Memorandum by Mr. John H. Morgan of the Division
                                    of Western European Affairs",0.0906225
frus,1941-12-24 00:00:00,frus1941v02d849,"
Memorandum of Conversation, by the Under Secretary
                                of State (Welles)",0.0902137
